File Name,Object,Material,Poisson Ratio,Young's Modulus,Force,Axis Fixed,,,Point of Application,,,,,
,,,,,100-200 N,x,y,z,x,y,z,,,
cyl_00086,cylinder,Clay,0.43,0.05,,,,,,,,,,
cyl_00087,cylinder,Clay,0.43,0.05,,,,,,,,,,
cyl_00088,cylinder,Clay,0.43,0.05,,,,,,,,,,
cyl_00089,cylinder,Clay,0.43,0.075,,,,,,,,,,
cyl_00090,cylinder,Clay,0.43,0.075,,,,,,,,,,
cyl_00091,cylinder,Clay,0.43,0.075,,,,,,,,,,
cyl_00092,cylinder,Clay,0.43,0.075,,,,,,,,,,
cyl_00093,cylinder,Clay,0.43,0.1,,,,,,,,,,
cyl_00094,cylinder,Clay,0.43,0.1,,,,,,,,,,
cyl_00095,cylinder,Clay,0.43,0.1,,,,,,,,,,
cyl_00096,cylinder,Clay,0.43,0.1,,,,,,,,,,
cyl_00097,cylinder,Steel,0.28,190,1000,0,1,0,0,0,0.1,Done,,
cyl_00098,cylinder,Steel,0.28,190,1500,0,1,0,0,0.15,0.1,Done,,
cyl_00099,cylinder,Steel,0.28,190,3000,0,1,0,0,-0.125,0.1,Done,,
cyl_00100,cylinder,Steel,0.28,190,3000,0,1,0,0,-0.2,0.1,Done,,
cyl_00101,cylinder,Steel,0.28,200,500,0,1,0,0,0.2,0.1,Done,,
cyl_00102,cylinder,Steel,0.28,200,1750,0,1,0,0,0.17,0.1,Done,,
cyl_00103,cylinder,Steel,0.28,200,1300,0,1,0,0,0.01,0.1,Done,,
cyl_00104,cylinder,Steel,0.28,200,800,0,1,0,0,0.09,0.1,Done,,
cyl_00105,cylinder,Steel,0.28,210,2000,0,1,0,0,-0.09,0.1,Done,,
cyl_00106,cylinder,Steel,0.28,210,200,0,1,0,0,-0.15,0.1,Done,,
cyl_00107,cylinder,Steel,0.28,210,3000,0,1,0,0,-0.2,0.1,Done,,
cyl_00108,cylinder,Steel,0.28,210,1600,0,1,0,0,0.11,0.1,Done,,
cyl_00109,cylinder,Steel,0.29,190,1000,0,1,0,0,0.13,0.1,Done,,
cyl_00110,cylinder,Steel,0.29,190,3000,0,1,0,0,-0.17,0.1,Done,,
cyl_00111,cylinder,Steel,0.29,190,3000,0,1,0,0,0.11,0.1,Done,,
cyl_00112,cylinder,Steel,0.29,190,500,0,1,0,0,0.15,0.1,Done,,
cyl_00113,cylinder,Steel,0.29,200,1300,0,1,0,0,0.13,0.1,Done,,
cyl_00114,cylinder,Steel,0.29,200,1400,0,1,0,0,-0.16,0.1,Done,,
cyl_00115,cylinder,Steel,0.29,200,1900,0,1,0,0,-0.12,0.1,Done,,
cyl_00116,cylinder,Steel,0.29,200,2100,0,1,0,0,0.12,0.1,Done,,
cyl_00117,cylinder,Steel,0.29,210,2250,0,1,0,0,0.19,0.1,Done,,
cyl_00118,cylinder,Steel,0.29,210,100,0,1,0,0,-0.18,0.1,Done,,
cyl_00119,cylinder,Steel,0.29,210,3000,0,1,0,0,0.1,0.1,Done,,
cyl_00120,cylinder,Steel,0.29,210,2700,0,1,0,0,-0.15,0.1,Done,,
cyl_00121,cylinder,Steel,0.29,190,,0,1,0,,,,,,
cyl_00122,cylinder,Steel,0.3,190,,0,1,0,,,,,,
cyl_00123,cylinder,Steel,0.3,190,,0,1,0,,,,,,
cyl_00124,cylinder,Steel,0.3,190,,0,1,0,,,,,,
cyl_00125,cylinder,Steel,0.3,200,,0,1,0,,,,,,
cyl_00126,cylinder,Steel,0.3,200,,0,1,0,,,,,,
cyl_00127,cylinder,Steel,0.3,200,,0,1,0,,,,,,
cyl_00128,cylinder,Steel,0.3,200,,0,1,0,,,,,,
cyl_00129,cylinder,Steel,0.3,210,,0,1,0,,,,,,
cyl_00130,cylinder,Steel,0.3,210,,0,1,0,,,,,,
cyl_00131,cylinder,Steel,0.3,210,,0,1,0,,,,,,
cyl_00132,cylinder,Steel,0.3,210,,0,1,0,,,,,,
cyl_00133,cylinder,Steel,0.3,190,,0,1,0,,,,,,
cyl_00134,cylinder,Steel,0.31,190,,0,1,0,,,,,,
cyl_00135,cylinder,Steel,0.31,190,,0,1,0,,,,,,
cyl_00136,cylinder,Steel,0.31,190,,0,1,0,,,,,,
cyl_00137,cylinder,Steel,0.31,200,,0,1,0,,,,,,
cyl_00138,cylinder,Steel,0.31,200,,0,1,0,,,,,,
cyl_00139,cylinder,Steel,0.31,200,,0,1,0,,,,,,
cyl_00140,cylinder,Steel,0.31,200,,0,1,0,,,,,,
cyl_00141,cylinder,Steel,0.31,210,,0,1,0,,,,,,
cyl_00142,cylinder,Steel,0.31,210,,0,1,0,,,,,,
cyl_00143,cylinder,Steel,0.31,210,,0,1,0,,,,,,
cyl_00144,cylinder,Steel,0.31,210,,0,1,0,,,,,,
prism_00001,Prism,Silicone Rubber,0.46,0.001,100,0,1,0,-0.09,-0.08,0,,,
prism_00002,Prism,Silicone Rubber,0.46,0.001,150,0,1,0,-0.07,0.08,0,,,
prism_00003,Prism,Silicone Rubber,0.46,0.001,50,0,1,0,-0.07,0.065,0,,,
prism_00004,Prism,Silicone Rubber,0.46,0.001,200,0,1,0,-0.05,0.054,0,,,
prism_00005,Prism,Silicone Rubber,0.46,0.02,120,0,1,0,-0.06,-0.036,0,,,
prism_00006,Prism,Silicone Rubber,0.46,0.02,140,0,1,0,-0.03,0.099,0,,,
prism_00007,Prism,Silicone Rubber,0.46,0.02,160,0,1,0,-0.02,-0.02,0,,,
prism_00008,Prism,Silicone Rubber,0.46,0.02,90,0,1,0,-0.015,0.035,0,,,
prism_00009,Prism,Silicone Rubber,0.46,0.035,70,0,1,0,-0.099,0.077,0,,,
prism_00010,Prism,Silicone Rubber,0.46,0.035,450,0,1,0,-0.05,0,0,,,
prism_00011,Prism,Silicone Rubber,0.46,0.035,500,0,1,0,-0.05,0.035,0,,,
prism_00012,Prism,Silicone Rubber,0.46,0.035,300,0,1,0,-0.07,0.065,0,,,
prism_00013,Prism,Silicone Rubber,0.46,0.035,200,0,1,0,-0.075,0.099,0,,,
prism_00014,Prism,Silicone Rubber,0.46,0.035,250,0,1,0,-0.015,-0.099,0,,,
prism_00015,Prism,Silicone Rubber,0.46,0.035,350,0,1,0,-0.03,-0.063,0,,,
prism_00016,Prism,Silicone Rubber,0.46,0.035,400,0,1,0,-0.08,0.01,0,,,
prism_00017,Prism,Silicone Rubber,0.46,0.035,200,0,1,0,-0.093,0.017,0,,,
prism_00018,Prism,Silicone Rubber,0.46,0.035,100,0,1,0,-0.087,0.032,0,,,
prism_00019,Prism,Silicone Rubber,0.46,0.035,150,0,1,0,-0.03,-0.09,0,,,
prism_00020,Prism,Silicone Rubber,0.46,0.035,240,0,1,0,-0.02,0.043,0,,,
prism_00021,Prism,Silicone Rubber,0.46,0.035,600,0,1,0,-0.05,0.099,0,,,
prism_00022,Prism,Silicone Rubber,0.46,0.035,850,0,1,0,-0.05,0,0,,,
prism_00023,Prism,Silicone Rubber,0.46,0.035,250,0,1,0,0,0.099,0,,,
prism_00024,Prism,Silicone Rubber,0.46,0.035,300,0,1,0,-0.087,0.063,0,,,
prism_00025,Prism,Silicone Rubber,,,,,,,,,,,,
prism_00026,Prism,Silicone Rubber,,,,,,,,,,,,
prism_00027,Prism,Silicone Rubber,,,,,,,,,,,,
prism_00028,Prism,Silicone Rubber,,,,,,,,,,,,
prism_00029,Prism,Silicone Rubber,,,,,,,,,,,,
prism_00030,Prism,Silicone Rubber,,,,,,,,,,,,
prism_00031,Prism,Silicone Rubber,,,,,,,,,,,,
prism_00032,Prism,Silicone Rubber,,,,,,,,,,,,
prism_00033,Prism,Silicone Rubber,,,,,,,,,,,,
prism_00034,Prism,Silicone Rubber,,,,,,,,,,,,
prism_00035,Prism,Silicone Rubber,,,,,,,,,,,,
prism_00036,Prism,Silicone Rubber,,,,,,,,,,,,
prism_00037,Prism,Silicone Rubber,,,,,,,,,,,,
